FitnessStagnationTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
5,0,0,184,20,7,2,4,6314.614856494789,6319.172145569211,607.3785
5,0,0,140,20,7,2,3,6314.614856494789,6319.643993095476,468.8134
5,0,0,282,20,7,2,2,6314.614856494789,6317.487953296152,859.9691
5,0,0,372,20,7,2,1,6314.614856494789,6316.981334,1130.4986
5,0,0,348,20,7,2,0,6314.614856494789,6317.398537051815,1080.6825
80,0,0,7624,20,7,3,9,6954.061790314534,6954.144023,315474.5129
80,0,0,5018,20,7,3,8,6954.061790314534,6954.103860173438,217770.0347
80,0,0,5316,20,7,3,7,6954.061790314534,6954.061790314534,248456.5095
80,0,0,5144,20,7,3,6,6954.061790314534,6954.072622437088,239197.7221
80,0,0,7250,20,7,3,5,6954.061790314534,6954.247851705885,369209.983
80,0,0,9712,20,7,3,4,6954.061790314534,6954.108254068618,487726.8417
80,0,0,9294,20,7,3,3,6954.061790314534,6954.108254068618,532715.7687
80,0,0,5624,20,7,3,2,6954.061790314534,6954.698842361373,333732.7188
80,0,0,6316,20,7,3,1,6954.061790314534,6954.072622437088,396524.5933
80,0,0,4744,20,7,3,0,6954.061790314534,6954.685842565128,323610.4371
40,0,0,3706,20,7,3,9,6954.061790314534,6954.483870791832,276427.8355
40,0,0,3226,20,7,3,8,6954.061790314534,6954.290427675742,241982.3214
40,0,0,2134,20,7,3,7,6954.061790314534,6954.161354952551,153557.5823
40,0,0,1530,20,7,3,6,6954.061790314534,6955.197637117431,115513.641
40,0,0,3400,20,7,3,5,6954.061790314534,6954.115497931355,162211.1328
40,0,0,1990,20,7,3,4,6954.061790314534,6956.6773403328225,65075.0733
40,0,0,3430,20,7,3,3,6954.061790314534,6954.088848753459,76042.4164
40,0,0,2622,20,7,3,2,6954.061790314534,6954.226861693019,37357.0953
40,0,0,4530,20,7,3,1,6954.061790314534,6954.103860173438,48203.2471
40,0,0,3556,20,7,3,0,6954.061790314534,6954.072622437088,23789.5129
20,0,0,1440,20,7,3,9,6954.061790314534,6954.253005875528,7856.6427
20,0,0,1146,20,7,3,8,6954.061790314534,6954.150850852589,6193.6242
20,0,0,1204,20,7,3,7,6954.061790314534,6955.265672439867,5353.6763
